Date;TAVG;TMAX;TMIN;PRCP;SNOW;SNWD
19/07/2022;79;84;75;;;
20/07/2022;79;83;73;;;
21/07/2022;79;84;75;;;
22/07/2022;79;85;;;;
23/07/2022;78;82;74;;;
24/07/2022;77;82;;;;
25/07/2022;78;83;71;;;
26/07/2022;78;83;73;;;
27/07/2022;79;84;;;;
28/07/2022;78;84;72;;;
29/07/2022;79;84;73;;;
30/07/2022;79;;74;;;
31/07/2022;78;84;;;;
01/08/2022;80;86;72;;;
02/08/2022;80;86;74;;;
03/08/2022;80;87;75;;;
04/08/2022;79;85;;;;
05/08/2022;78;86;;;;
06/08/2022;79;86;71;;;
07/08/2022;78;83;72;;;
08/08/2022;78;84;70;;;
09/08/2022;78;84;75;;;
10/08/2022;80;85;75;;;
11/08/2022;82;86;76;;;
12/08/2022;81;87;;;;
13/08/2022;81;88;76;;;
14/08/2022;80;88;;;;
15/08/2022;80;86;74;;;
16/08/2022;80;87;74;;;
17/08/2022;80;84;75;;;
18/08/2022;80;83;76;;;
19/08/2022;79;84;;;;
20/08/2022;79;84;74;;;
21/08/2022;80;86;73;;;
22/08/2022;80;;76;;;
23/08/2022;80;85;76;;;
24/08/2022;80;85;75;;;
25/08/2022;80;86;76;;;
26/08/2022;80;88;;;;
27/08/2022;78;84;;;;
28/08/2022;78;84;75;;;
29/08/2022;79;;74;0.00;;
30/08/2022;78;85;;;;
31/08/2022;79;85;74;;;
01/09/2022;80;86;75;;;
02/09/2022;80;86;77;;;
03/09/2022;80;86;76;;;
04/09/2022;80;85;75;;;
05/09/2022;80;86;76;;;
06/09/2022;81;86;76;;;
07/09/2022;80;86;;;;
08/09/2022;80;86;;;;
09/09/2022;80;88;73;;;
10/09/2022;80;87;;;;
11/09/2022;78;83;;;;
12/09/2022;80;86;73;;;
13/09/2022;80;87;77;;;
14/09/2022;80;85;72;;;
15/09/2022;76;80;72;;;
16/09/2022;78;85;72;;;
17/09/2022;80;84;72;;;
18/09/2022;80;86;74;;;
19/09/2022;80;85;73;;;
20/09/2022;77;83;;;;
21/09/2022;80;85;73;;;
22/09/2022;81;;76;;;
23/09/2022;82;87;76;;;
24/09/2022;82;87;77;;;
25/09/2022;81;87;77;;;
26/09/2022;80;87;;;;
27/09/2022;80;87;75;;;
28/09/2022;80;87;75;;;
29/09/2022;82;;74;;;
30/09/2022;81;;;;;
01/10/2022;79;88;;;;
02/10/2022;79;87;73;;;
03/10/2022;78;84;74;;;
04/10/2022;79;85;74;;;
05/10/2022;80;85;75;;;
06/10/2022;79;85;;;;
07/10/2022;79;86;75;;;
08/10/2022;81;86;74;;;
09/10/2022;81;88;76;;;
10/10/2022;82;88;76;;;
11/10/2022;80;87;;;;
12/10/2022;80;;75;;;
13/10/2022;79;85;;;;
14/10/2022;80;85;;;;
15/10/2022;81;86;75;;;
16/10/2022;80;87;;;;
17/10/2022;77;;;;;
18/10/2022;78;82;;;;
19/10/2022;81;86;75;;;
20/10/2022;81;87;;;;
21/10/2022;82;88;;;;
22/10/2022;80;89;;;;
23/10/2022;82;90;74;;;
25/10/2022;76;87;;;;
26/10/2022;80;87;75;;;
27/10/2022;77;85;;;;
28/10/2022;78;86;;;;
29/10/2022;79;85;71;;;
30/10/2022;79;86;;;;
31/10/2022;80;86;71;;;
01/11/2022;82;87;75;;;
02/11/2022;81;88;76;;;
03/11/2022;83;90;75;;;
04/11/2022;83;90;77;;;
05/11/2022;83;89;78;;;
06/11/2022;84;89;79;;;
07/11/2022;82;89;78;;;
08/11/2022;79;88;;;;
09/11/2022;80;86;75;;;
10/11/2022;81;89;75;;;
11/11/2022;82;89;75;;;
12/11/2022;83;89;76;;;
13/11/2022;82;89;77;;;
14/11/2022;81;90;;;;
15/11/2022;79;90;;;;
16/11/2022;79;88;73;;;
17/11/2022;82;90;74;;;
18/11/2022;78;86;;;;
19/11/2022;79;85;74;;;
20/11/2022;80;88;73;;;
21/11/2022;80;87;74;;;
22/11/2022;77;;;;;
23/11/2022;78;84;73;;;
24/11/2022;78;87;74;0.75;;
25/11/2022;79;87;74;;;
26/11/2022;80;87;;;;
27/11/2022;80;;74;;;
28/11/2022;78;88;;;;
29/11/2022;79;82;75;;;
30/11/2022;81;87;;;;
01/12/2022;81;88;74;;;
02/12/2022;82;87;74;;;
03/12/2022;81;89;75;;;
04/12/2022;81;89;75;;;
05/12/2022;82;90;76;;;
06/12/2022;83;90;74;;;
07/12/2022;84;90;78;;;
08/12/2022;83;90;;;;
09/12/2022;82;88;75;;;
10/12/2022;83;89;76;;;
11/12/2022;83;90;77;;;
12/12/2022;83;90;77;;;
13/12/2022;84;91;77;;;
14/12/2022;83;90;76;;;
15/12/2022;83;91;77;;;
16/12/2022;81;89;;;;
17/12/2022;80;;75;;;
18/12/2022;82;;74;;;
19/12/2022;83;91;74;;;
20/12/2022;82;91;75;;;
21/12/2022;83;90;76;;;
22/12/2022;81;88;75;;;
23/12/2022;81;87;;;;
24/12/2022;79;85;74;;;
25/12/2022;78;83;75;;;
26/12/2022;80;85;75;;;
27/12/2022;80;86;76;;;
28/12/2022;77;;;;;
29/12/2022;78;87;73;;;
30/12/2022;80;85;74;;;
31/12/2022;80;89;76;;;
01/01/2023;80;89;;;;
02/01/2023;80;89;74;;;
03/01/2023;83;;75;;;
04/01/2023;84;93;76;;;
05/01/2023;84;94;75;;;
06/01/2023;83;91;74;;;
07/01/2023;83;94;;;;
08/01/2023;82;90;73;;;
09/01/2023;81;90;74;;;
10/01/2023;82;90;73;;;
11/01/2023;82;92;;;;
12/01/2023;82;92;;;;
13/01/2023;82;91;72;;;
14/01/2023;82;93;74;;;
15/01/2023;79;;;;;
16/01/2023;80;;75;;;
17/01/2023;79;87;75;;;
18/01/2023;82;89;75;;;
19/01/2023;78;89;74;;;
20/01/2023;78;86;74;;;
21/01/2023;79;;74;;;
22/01/2023;80;88;;;;
23/01/2023;82;89;70;;;
24/01/2023;83;90;74;;;
25/01/2023;83;;77;;;
26/01/2023;80;90;;;;
27/01/2023;78;84;74;;;
28/01/2023;77;86;74;;;
29/01/2023;80;87;74;;;
30/01/2023;81;87;75;;;
31/01/2023;81;87;77;;;
01/02/2023;80;87;76;;;
03/02/2023;80;85;74;;;
04/02/2023;78;85;;;;
05/02/2023;79;84;73;;;
06/02/2023;79;85;75;;;
07/02/2023;79;85;74;;;
08/02/2023;79;90;75;;;
09/02/2023;79;86;74;;;
10/02/2023;78;85;;;;
11/02/2023;78;;74;;;
12/02/2023;78;88;73;;;
13/02/2023;78;87;73;;;
14/02/2023;81;88;73;;;
15/02/2023;79;86;74;;;
16/02/2023;79;87;74;;;
17/02/2023;79;87;75;;;
18/02/2023;80;85;74;;;
19/02/2023;82;89;74;;;
20/02/2023;82;88;75;;;
21/02/2023;83;90;76;;;
22/02/2023;81;89;75;0.17;;
23/02/2023;80;89;75;;;
24/02/2023;78;88;;0.98;;
25/02/2023;79;88;74;;;
26/02/2023;79;87;74;;;
27/02/2023;80;89;74;;;
28/02/2023;79;;74;;;
01/03/2023;80;87;73;;;
02/03/2023;78;87;;1.10;;
03/03/2023;78;87;;;;
04/03/2023;82;89;72;;;
05/03/2023;81;87;72;;;
06/03/2023;79;89;;;;
07/03/2023;80;90;72;;;
08/03/2023;79;;72;;;
09/03/2023;81;90;72;;;
10/03/2023;83;89;74;;;
11/03/2023;83;90;;;;
12/03/2023;82;90;73;;;
13/03/2023;82;89;75;;;
14/03/2023;78;89;;;;
15/03/2023;82;89;72;;;
16/03/2023;83;89;75;;;
17/03/2023;80;90;;;;
18/03/2023;83;90;75;;;
19/03/2023;83;91;74;;;
20/03/2023;81;89;76;;;
21/03/2023;85;90;77;;;
22/03/2023;84;91;77;;;
23/03/2023;83;90;77;;;
24/03/2023;83;92;74;;;
25/03/2023;83;91;76;;;
26/03/2023;82;89;77;;;
27/03/2023;79;88;;;;
28/03/2023;79;88;73;;;
29/03/2023;82;88;75;;;
30/03/2023;82;90;76;;;
31/03/2023;79;88;;;;
01/04/2023;79;91;74;;;
02/04/2023;78;87;;;;
03/04/2023;78;88;;;;
04/04/2023;78;87;72;;;
05/04/2023;81;89;73;;;
06/04/2023;80;90;73;;;
07/04/2023;80;89;;;;
08/04/2023;79;90;;;;
09/04/2023;81;90;70;;;
10/04/2023;79;90;71;;;
11/04/2023;81;92;73;;;
12/04/2023;81;88;76;;;
13/04/2023;77;83;;;;
14/04/2023;80;88;72;;;
15/04/2023;81;87;73;;;
16/04/2023;82;90;74;;;
17/04/2023;83;90;75;;;
18/04/2023;83;89;74;;;
19/04/2023;83;89;75;;;
20/04/2023;82;91;77;;;
21/04/2023;81;88;77;;;
22/04/2023;82;90;76;;;
23/04/2023;84;90;75;;;
24/04/2023;83;90;75;;;
25/04/2023;84;91;76;;;
26/04/2023;83;89;79;;;
27/04/2023;83;89;;;;
28/04/2023;81;87;76;;;
29/04/2023;80;90;;;;
30/04/2023;80;89;75;;;
01/05/2023;81;88;75;;;
02/05/2023;84;90;77;;;
03/05/2023;83;;;;;
04/05/2023;84;;77;;;
05/05/2023;83;93;79;;;
06/05/2023;82;87;78;;;
07/05/2023;82;88;;;;
08/05/2023;83;89;78;;;
09/05/2023;81;84;78;;;
10/05/2023;82;;78;;;
11/05/2023;83;87;78;;;
12/05/2023;82;89;;;;
